1;1;155;2
2;1;156;1
3;1;125;1
4;1;126;1
5;1;127;1
6;1;128;1
7;1;129;1
8;2;148;4
9;2;149;4
10;2;153;2
11;2;150;2
12;2;42;2
13;2;43;2
14;2;46;1
15;2;45;1
16;2;66;4
17;2;67;2
18;2;64;1
19;2;68;1
20;3;12;2
21;3;13;3
22;3;14;4
23;3;20;1
24;4;114;2
25;4;117;2
26;4;113;2
27;4;115;3
28;4;112;6
29;4;116;6
30;4;23;1
31;6;160;3
32;6;161;1
33;7;130;6
34;7;131;4
35;7;133;2
36;7;132;1
37;7;63;1
38;8;109;7
39;8;110;1
40;8;105;1
41;9;151;6
42;9;148;2
43;9;149;2
44;9;154;4
45;9;149;1
46;9;134;1
47;10;78;2
48;10;81;1
49;10;79;1
50;10;93;2
51;10;94;2
52;10;92;1
53;10;90;1
54;10;95;1
55;11;137;3
56;11;138;1
57;11;1;3
58;11;3;1
59;15;157;1
60;15;156;1
61;15;63;2
62;15;58;2
63;15;60;1
64;16;147;2
65;16;148;1
66;16;158;2
67;16;159;1
68;17;116;5
69;17;113;5
70;17;112;3
71;17;114;2
72;17;115;2
73;18;27;4
74;18;33;2
75;18;29;2
76;18;136;2
77;18;135;1
78;18;134;1
79;13;14;1
80;13;16;1
81;13;19;2
82;13;20;4
83;13;21;1
84;13;162;1
85;19;37;3
86;19;38;1
87;19;1;3
88;19;2;3
89;19;5;1
90;21;75;1
91;21;76;1
92;21;120;2
93;21;122;1
94;24;8;4
95;24;78;3
96;20;125;1
97;20;127;1
98;20;128;1
99;20;164;1
100;20;59;2
101;20;61;2
102;22;147;1
103;22;148;1
104;22;165;5
105;22;166;3
106;25;64;2
107;25;66;1
108;25;139;2
109;25;141;1
110;25;143;1
